sub,study,meta_entropy
22145,EXTEND,2.982693766577042
22145,EXTEND,2.926889819922541
22145,EXTEND,2.9759196445858827
22145,EXTEND,2.9467033857320275
22145,EXTEND,2.981940617550491
22145,EXTEND,2.973841490704001
22148,EXTEND,2.9154134311521704
22149,EXTEND,2.9235769957651554
22149,EXTEND,2.94033354000126
22149,EXTEND,2.9667114298688104
22149,EXTEND,2.8842545479634087
22149,EXTEND,2.7674482832088727
22149,EXTEND,2.9501952417875628
22149,EXTEND,2.813063406665016
22149,EXTEND,2.8475364114786386
22149,EXTEND,2.9708355727473355
22156,EXTEND,2.5874995059299346
22156,EXTEND,2.788397858108078
22156,EXTEND,2.542010756996303
22156,EXTEND,2.667176821448715
22156,EXTEND,2.74904806032593
22156,EXTEND,2.720558748157333
22156,EXTEND,2.74904806032593
22156,EXTEND,2.482669412472392
22156,EXTEND,2.7519074547035083
22167,EXTEND,2.9057597440928147
22167,EXTEND,2.784315881029148
22167,EXTEND,2.7789264989941787
22167,EXTEND,2.7171203758766844
22167,EXTEND,2.9224185235618734
22167,EXTEND,2.947509985327183
22167,EXTEND,2.770553414184912
22175,EXTEND,2.877485692175433
22175,EXTEND,2.7231558985467355
22175,EXTEND,2.7117192879747525
22175,EXTEND,2.7779799289370635
22175,EXTEND,2.7945855284176457
22175,EXTEND,2.8835583314822752
22175,EXTEND,2.893711445424984
22175,EXTEND,2.954101923198241
22175,EXTEND,2.999505252053156
22185,EXTEND,2.8446727545546056
22185,EXTEND,2.935990428211875
22185,EXTEND,2.769201465359419
22185,EXTEND,2.628637233948701
22185,EXTEND,2.8299999658216115
22185,EXTEND,2.9806821479253376
22185,EXTEND,2.907364252922003
22185,EXTEND,2.980550223296084
22185,EXTEND,3.077745016603167
22186,EXTEND,2.8962487607239
22186,EXTEND,2.8544102576161148
22186,EXTEND,2.988605382407123
22186,EXTEND,2.9139516653222173
22186,EXTEND,2.863633629471792
22186,EXTEND,2.922812594808732
22186,EXTEND,2.9726156365449308
22186,EXTEND,2.918388500460471
22186,EXTEND,2.853952983039864
22197,EXTEND,2.849625290440816
22197,EXTEND,2.9488658495654017
22197,EXTEND,2.9331799927683706
22197,EXTEND,2.859432421159098
22197,EXTEND,2.8112493855302447
22197,EXTEND,2.88469779012745
22197,EXTEND,2.748550797469381
22197,EXTEND,2.9692376208050577
22199,EXTEND,2.94120385377717
22199,EXTEND,2.96541751723199
22199,EXTEND,2.9345308383189304
22199,EXTEND,2.94364138368924
22199,EXTEND,2.9519900562695267
22199,EXTEND,2.908122307770845
22199,EXTEND,2.907762715293159
22199,EXTEND,2.900367870785012
22201,EXTEND,2.868501704765467
22201,EXTEND,2.771346056280364
22201,EXTEND,2.8206071302648703
22201,EXTEND,2.6571798095595645
22201,EXTEND,2.8647595954893164
22201,EXTEND,2.7307617248448106
22201,EXTEND,2.968286984433252
22201,EXTEND,2.867071965241493
22206,EXTEND,2.921612218659737
22206,EXTEND,2.8737001221892755
22206,EXTEND,2.972894363545973
22206,EXTEND,2.8209698926369096
22206,EXTEND,2.9244359500269503
22206,EXTEND,2.767679950221995
22206,EXTEND,2.8892813665879657
22206,EXTEND,2.9026571606273603
22211,EXTEND,2.7643540574139616
22211,EXTEND,2.9835167762321486
22211,EXTEND,2.9197817600038314
22211,EXTEND,2.932919510117992
22211,EXTEND,2.978762427750976
22211,EXTEND,2.759318949745676
22211,EXTEND,2.924878413289505
22211,EXTEND,3.1157941292606126
22218,EXTEND,2.946740704544001
22218,EXTEND,2.954360251554637
22218,EXTEND,2.8764764683717243
22218,EXTEND,2.907779069134437
22218,EXTEND,2.936692505986556
22218,EXTEND,2.968807747007609
22218,EXTEND,3.1068134732434425
22219,EXTEND,2.939360729856092
22219,EXTEND,2.902351085610285
22219,EXTEND,2.9731590515859008
22219,EXTEND,2.7968581747025167
22219,EXTEND,2.9030017081192248
22219,EXTEND,2.987698490918932
22219,EXTEND,2.827751413032816
22219,EXTEND,3.0217560051133767
22221,EXTEND,2.948431344327247
22221,EXTEND,2.8600067387422814
22221,EXTEND,2.811353862333809
22221,EXTEND,2.7673840119151363
22221,EXTEND,2.800705635123543
22221,EXTEND,2.824750413844062
22221,EXTEND,2.736672975383965
22224,EXTEND,2.861558718161519
22224,EXTEND,2.963842846874741
22224,EXTEND,2.9377188116195634
22224,EXTEND,2.8857454809815315
22224,EXTEND,2.865184764599597
22224,EXTEND,2.503960057495831
22224,EXTEND,2.8255230810956484
22241,EXTEND,2.828109366959575
22241,EXTEND,2.779476336832363
22241,EXTEND,2.81156728772298
22241,EXTEND,2.7218235647688185
22241,EXTEND,2.9712962090960096
22241,EXTEND,2.862010709235982
22241,EXTEND,2.651815900208009
22241,EXTEND,2.7699987240813155
22242,EXTEND,2.953379525992465
22242,EXTEND,2.855164103519896
22242,EXTEND,2.7991951597915303
22242,EXTEND,2.914587291933718
22242,EXTEND,2.953547758895397
22242,EXTEND,2.8474333090716946
22242,EXTEND,2.855582641775832
22242,EXTEND,2.8987787126147326
22242,EXTEND,3.134936315842542
22259,EXTEND,2.779994163600397
22259,EXTEND,2.80469579232571
22259,EXTEND,2.916510789446488
22259,EXTEND,2.8805116956230497
22259,EXTEND,2.9338411855791846
22259,EXTEND,2.867980684639752
22259,EXTEND,2.94249569913587
22259,EXTEND,2.9215717049966257
22259,EXTEND,3.013549796157101
22273,EXTEND,2.8517520634643563
22273,EXTEND,2.901345242031478
22273,EXTEND,2.852703746527838
22273,EXTEND,3.067358930719537
22277,EXTEND,2.668396648253281
22277,EXTEND,2.792584204958932
22277,EXTEND,2.806378682952356
22277,EXTEND,2.904108111921712
22277,EXTEND,2.878035850942543
22277,EXTEND,3.057123830337724
22287,EXTEND,2.926408786975034
22287,EXTEND,2.648149792801536
22287,EXTEND,2.817283646777223
22287,EXTEND,2.929879349827149
22287,EXTEND,2.869169579345217
22287,EXTEND,2.9626078751067646
22287,EXTEND,3.114373548671265
22295,EXTEND,2.8803407944674166
22295,EXTEND,2.734921620257724
22295,EXTEND,2.854700901681617
22295,EXTEND,2.969142840023068
22295,EXTEND,2.731817885811976
22295,EXTEND,2.9803831651797874
22295,EXTEND,2.955456615638992
22295,EXTEND,2.876083950091302
22295,EXTEND,3.063342326777965
22302,EXTEND,2.9426242913294143
22302,EXTEND,2.7511062621100706
22302,EXTEND,2.757231033305028
22302,EXTEND,2.804955943862905
22302,EXTEND,2.8943276023379223
22302,EXTEND,2.640201757095113
22302,EXTEND,2.6549240729561587
22307,EXTEND,2.916893344255409
22307,EXTEND,2.889763157307285
22307,EXTEND,2.8758495435070413
22307,EXTEND,3.067905786065796
22314,EXTEND,2.9210205288717974
22314,EXTEND,2.953743800598553
22314,EXTEND,2.8992470001033137
22314,EXTEND,2.9064112832368902
22314,EXTEND,2.7448657769419924
22314,EXTEND,2.949667351559053
22314,EXTEND,2.8473003063685787
22314,EXTEND,3.060212975934845
22316,EXTEND,2.7077772941954628
22316,EXTEND,2.84980149819099
22316,EXTEND,2.7181113421404697
22316,EXTEND,2.7938523802461472
22316,EXTEND,2.9643458923753503
22316,EXTEND,2.8058236148699915
22316,EXTEND,2.5960518768755287
22316,EXTEND,2.891900354165342
22328,EXTEND,2.974354404878191
22332,EXTEND,2.96407442832351
22332,EXTEND,2.727932750532386
22332,EXTEND,2.988284267065762
22332,EXTEND,2.741662958373355
22332,EXTEND,2.71889236417225
22353,EXTEND,2.898784830237416
22353,EXTEND,2.900964003105348
22353,EXTEND,2.9209148166810066
22353,EXTEND,3.1121875675709
22385,EXTEND,2.9175830832256406
22385,EXTEND,2.8846784692743945
22385,EXTEND,2.959523532350261
22385,EXTEND,2.871398427149208
22385,EXTEND,2.812667213981196
22388,EXTEND,2.893434957911606
22388,EXTEND,2.948259480087095
22388,EXTEND,2.994557510551184
22388,EXTEND,3.0676603684056114
22397,EXTEND,2.9240600470597893
22397,EXTEND,2.972040417159692
22397,EXTEND,2.849016952563918
22397,EXTEND,2.8149358337172696
22397,EXTEND,2.8682583995391338
22397,EXTEND,2.9711446642275843
22406,EXTEND,2.7996360689959072
22406,EXTEND,2.85862810752484
22406,EXTEND,2.627831798115167
22406,EXTEND,2.5732430897396124
22406,EXTEND,2.927229995488132
22406,EXTEND,2.833336676279151
22417,EXTEND,2.8188215940715264
22417,EXTEND,2.7611523850735846
22417,EXTEND,2.936366193021935
22417,EXTEND,2.8786070920560816
22417,EXTEND,2.958002588096045
22417,EXTEND,2.9577344284369675
22417,EXTEND,3.0784896956791235
22422,EXTEND,2.911009372335237
22422,EXTEND,2.8444393482180743
22422,EXTEND,2.8783688085342507
22450,EXTEND,2.797356642856003
22450,EXTEND,2.8032280000408925
22450,EXTEND,2.7465485401539045
22452,EXTEND,2.8430891775522595
22470,EXTEND,2.682663917828265
22480,EXTEND,2.733035600522866
22480,EXTEND,2.871113087378697
22480,EXTEND,3.049853897546301
22488,EXTEND,2.975759911323084
22488,EXTEND,2.951844271316998
22488,EXTEND,2.8983359689623014
22488,EXTEND,3.109961305802782
22501,EXTEND,2.949725948102597
22521,EXTEND,2.884380710387428
22521,EXTEND,2.67330936464923
22525,EXTEND,2.564497064711768
22525,EXTEND,2.961777977561489
22550,EXTEND,2.80281160107486
22550,EXTEND,2.952669636523741
22553,EXTEND,2.9427537656265845
22553,EXTEND,2.9688977228055777
22554,EXTEND,2.496673094921823
22554,EXTEND,2.112450591554325
22554,EXTEND,2.862103263686469
22557,EXTEND,2.967971533785175
22557,EXTEND,2.8930939448973687
22557,EXTEND,2.86690303176157
22557,EXTEND,2.9236068617552227
22563,EXTEND,2.955759010448839
22563,EXTEND,2.613825747560092
22563,EXTEND,2.5017288856325943
22563,EXTEND,2.939149717367929
22563,EXTEND,2.7484441655041265
22563,EXTEND,2.882879557579338
22568,EXTEND,2.8127206429338707
22568,EXTEND,2.7964022262392523
22568,EXTEND,2.777083502187981
22572,EXTEND,2.8675067752864467
22572,EXTEND,2.9797005746814653
22572,EXTEND,2.878182613485281
22572,EXTEND,2.799331380417124
22572,EXTEND,2.7873790268268963
22572,EXTEND,2.9302806759725235
22579,EXTEND,2.875102997902127
22579,EXTEND,2.839354172751634
22579,EXTEND,2.9134639543261422
22579,EXTEND,2.833498306338224
22580,EXTEND,2.861973240562752
22580,EXTEND,2.7425627680861684
22580,EXTEND,2.7498032645279733
22580,EXTEND,2.760936011003303
22583,EXTEND,2.5569975251076635
22583,EXTEND,2.8559202102732404
22583,EXTEND,2.943877874695488
22583,EXTEND,2.647708349386729
22583,EXTEND,2.9499588922129365
22584,EXTEND,2.6200449042338856
22584,EXTEND,2.524314921575145
22584,EXTEND,2.4792715071332725
22584,EXTEND,2.8162533644946897
22584,EXTEND,2.3266449093302013
22594,EXTEND,2.8320290721369763
22594,EXTEND,2.8375742010787723
22594,EXTEND,2.897019654081135
22594,EXTEND,3.0855941197099432
22603,EXTEND,2.919800030570684
22603,EXTEND,2.923020838968928
22603,EXTEND,2.965205935862828
22603,EXTEND,2.938634898847296
22603,EXTEND,2.6795757102197406
22608,EXTEND,2.95669878846004
22608,EXTEND,2.8848600165958254
22608,EXTEND,2.949872958455205
22608,EXTEND,2.9518454088418307
22608,EXTEND,2.909823039010755
22608,EXTEND,2.8415291788426167
22608,EXTEND,2.8793205183498083
22608,EXTEND,2.834199722365941
22609,EXTEND,2.965845057936237
22616,EXTEND,2.9269021404120847
22616,EXTEND,2.615259290127426
22616,EXTEND,2.386334198666915
22616,EXTEND,2.826070188277026
22616,EXTEND,2.810365294679877
22629,EXTEND,2.9601719977428385
22629,EXTEND,2.862387431464072
22629,EXTEND,2.9254194468993333
22637,EXTEND,2.6035090795840103
22637,EXTEND,2.665595655018377
22637,EXTEND,2.395647898590729
22637,EXTEND,2.662312869310543
22637,EXTEND,2.662312869310543
22637,EXTEND,2.6924876010621768
22638,EXTEND,2.872451107653361
22638,EXTEND,2.669203302205968
22638,EXTEND,2.7152586481232084
22638,EXTEND,2.352349263495245
22638,EXTEND,2.648267303030268
22638,EXTEND,2.741453098842427
22643,EXTEND,2.840803782936513
22643,EXTEND,2.9394325335681777
22643,EXTEND,2.928231625214885
22643,EXTEND,2.8704089263973334
22643,EXTEND,2.881910497390868
22643,EXTEND,2.948380657878284
22643,EXTEND,2.885872718639647
22646,EXTEND,2.788441758954691
22648,EXTEND,2.834073451144275
22648,EXTEND,2.952980435096697
22648,EXTEND,2.7204187697271385
22648,EXTEND,2.8849602366249125
22648,EXTEND,2.898300150372738
22653,EXTEND,2.908256526860993
22653,EXTEND,2.921490677680272
22653,EXTEND,2.849275819808464
22653,EXTEND,2.755208407934613
22653,EXTEND,2.825816183618
22653,EXTEND,2.871743605533404
22653,EXTEND,2.281298164144547
22700,EXTEND,2.840907919303381
22700,EXTEND,2.785427823044066
22700,EXTEND,2.960440597664136
22700,EXTEND,2.935312647559454
22707,EXTEND,2.893766985321247
22717,EXTEND,2.8619401825491417
22718,EXTEND,2.90050699160685
22718,EXTEND,2.865934147285517
22718,EXTEND,2.558056954378179
22718,EXTEND,2.710383070051872
22718,EXTEND,2.8310771444076
22738,EXTEND,2.9335783398125224
22738,EXTEND,2.747134898041179
22738,EXTEND,2.964260149139747
22738,EXTEND,2.8718397933629904
22738,EXTEND,2.9799424973644646
22738,EXTEND,2.845637227873123
22739,EXTEND,2.776076451401647
22739,EXTEND,2.9288616981306763
22739,EXTEND,2.655565728688462
22739,EXTEND,2.655379266385175
22742,EXTEND,2.9613376404195053
22742,EXTEND,2.8937885010856075
22742,EXTEND,2.8952803725258907
22742,EXTEND,2.964483916144324
22742,EXTEND,2.9401822019144324
22743,EXTEND,2.605890455687377
22743,EXTEND,2.904573546951016
22743,EXTEND,2.766778362706899
22743,EXTEND,2.944355504893737
22743,EXTEND,2.824531612881889
22745,EXTEND,2.7292224276156203
22745,EXTEND,2.899327593456179
22745,EXTEND,2.9082553782714187
22745,EXTEND,2.9379873091590825
22745,EXTEND,2.778555148397602
22745,EXTEND,2.959281982023598
22745,EXTEND,2.902429293950715
22745,EXTEND,2.937592347867157
22762,EXTEND,2.8100431082824646
22762,EXTEND,2.728186430096972
22762,EXTEND,2.9202129722555563
22762,EXTEND,2.795415415639169
22762,EXTEND,2.9274717619184103
22770,EXTEND,2.985423450422187
22770,EXTEND,2.986090373894277
22770,EXTEND,2.897170761200138
22770,EXTEND,2.9769009070441768
22770,EXTEND,2.87111280716292
22774,EXTEND,2.824438066801038
22774,EXTEND,2.928184697250188
22774,EXTEND,2.817960592690001
22774,EXTEND,2.7215898827178835
22774,EXTEND,2.9010278531867573
22774,EXTEND,2.849172919759433
22774,EXTEND,2.8134999183708085
22780,EXTEND,2.172497161722298
22780,EXTEND,2.685349484011009
22780,EXTEND,2.730889013968946
22780,EXTEND,2.653606837418693
22798,EXTEND,2.9049697913019363
22798,EXTEND,2.7414720319338777
22798,EXTEND,2.94359749764103
22798,EXTEND,2.777328833693395
22798,EXTEND,2.952378260162917
22798,EXTEND,2.8468280594524247
22798,EXTEND,2.86501288587226
22801,EXTEND,2.972679326294944
22801,EXTEND,2.8750146617431747
22801,EXTEND,2.813230865259296
22801,EXTEND,2.843654507404741
22808,EXTEND,2.853703262371276
22808,EXTEND,2.8261870069009665
22808,EXTEND,2.933495696400452
22808,EXTEND,2.91511710437604
22808,EXTEND,2.847182807375673
22813,EXTEND,2.863754430216122
22813,EXTEND,2.7819950109954403
22813,EXTEND,2.918218916492473
22820,EXTEND,2.7298575067793167
22820,EXTEND,2.377412124963556
22820,EXTEND,2.608193157896072
22820,EXTEND,2.6973203455495303
22820,EXTEND,2.7638531691948893
22820,EXTEND,2.7226797046760987
22823,EXTEND,2.8851045456902784
22823,EXTEND,2.730601223889799
22823,EXTEND,2.896943770910947
22823,EXTEND,2.843466351696147
22826,EXTEND,2.852291720552888
22826,EXTEND,2.8551583660065005
22826,EXTEND,2.85206353756406
22826,EXTEND,2.820614600012734
22826,EXTEND,2.9578241011900506
22833,EXTEND,2.92322631230551
22833,EXTEND,2.752130034911544
22833,EXTEND,2.845812285085505
22833,EXTEND,2.9019136288822005
22833,EXTEND,2.6897390280894773
22833,EXTEND,2.8504398623958744
22841,EXTEND,2.925899660658992
22841,EXTEND,2.9593764780580893
22841,EXTEND,2.800922497643404
22841,EXTEND,2.8213937386098102
22841,EXTEND,2.9671257134258098
22842,EXTEND,2.735239844671792
22842,EXTEND,2.4640917470926245
22842,EXTEND,2.736544855210322
22846,EXTEND,2.8817185886738828
22846,EXTEND,2.986721356686934
22859,EXTEND,2.9911247816021618
22859,EXTEND,2.90075690131278
22859,EXTEND,2.938866960823178
22859,EXTEND,2.9766921862529165
22859,EXTEND,2.977041361560352
22859,EXTEND,2.953800856903813
22861,EXTEND,2.838032187827605
22861,EXTEND,2.9818253357295728
22861,EXTEND,2.6546276145238545
22861,EXTEND,2.71014613883437
22861,EXTEND,2.6748567677285053
22874,EXTEND,2.916340040029
22874,EXTEND,2.9761435826719778
22874,EXTEND,2.9701363735190704
22874,EXTEND,2.9562056082756643
3311,PACRD,2.837812988840688
3498,PACRD,2.967556224465324
3566,PACRD,2.9707626199952366
3207,PACRD,2.915956424882988
3560,PACRD,2.9923343680304693
3565,PACRD,2.8524574896392947
3068,PACRD,2.9485985528836496
3200,PACRD,2.855880826123093
3599,PACRD,2.971658221790875
3598,PACRD,2.8820113211770733
3600,PACRD,2.9566729076235765
3601,PACRD,2.9551244726119013
3605,PACRD,2.958268944395976
3607,PACRD,2.7879160294750664
3608,PACRD,2.97797485508808
3625,PACRD,2.7653668813384424
3616,PACRD,2.819912868676548
3621,PACRD,2.802551645917984
3628,PACRD,2.92364953035952
3629,PACRD,2.762057606746136
3634,PACRD,2.768557966115843
3659,PACRD,2.9705247100658045
3649,PACRD,2.841405906119076
3656,PACRD,2.951489261054723
3669,PACRD,2.9146179201027658
3671,PACRD,2.973774438131745
3655,PACRD,2.963732281351225
3666,PACRD,2.9596811970111667
3658,PACRD,2.897308448256388
3667,PACRD,2.923422622599656
3670,PACRD,2.4133257000514163
3675,PACRD,2.93436368911651
3677,PACRD,2.908987604717292
3674,PACRD,2.8943169397273136
3676,PACRD,2.939339109035735
3678,PACRD,2.884752981620077
3684,PACRD,2.4404053809103794
3687,PACRD,2.614404061129327
3695,PACRD,2.868651286333891
3713,PACRD,2.802076979739616
3500,PACRD,2.8036773364573246
358,PACRD,2.902019068927561
3182,PACRD,2.963914704603944
3503,PACRD,2.9634034174109187
3045,PACRD,2.826174882705804
3505,PACRD,2.8990295914487283
3508,PACRD,2.9083945816413195
3522,PACRD,2.9253458493975595
3507,PACRD,2.9047517133902465
3644,PACRD,2.2934704849770027
3157,PACRD,2.963420407078672
3217,PACRD,2.9741999624352955
3234,PACRD,2.8949842219073583
3519,PACRD,2.473254206854498
3201,PACRD,2.86786071075647
3525,PACRD,2.966489397048253
3526,PACRD,2.907791959380656
3527,PACRD,2.860661465574766
3087,PACRD,2.9785236220732703
