id,age,edu,sex
22700,69,17,Female
22702,68,14,Male
22707,60,16,Female
22710,61,16,Male
22711,80,17,Female
22712,61,13,Female
22714,57,16,Male
22717,66,16,Male
22718,55,16,Female
22719,79,19,Female
22722,64,16,Female
22730,66,16,Female
22737,67,16,Female
22738,64,13,Male
22739,68,18,Female
22742,67,18,Female
22743,80,23,Male
22745,68,16,Female
22746,57,19,Male
22748,58,14,Male
22762,64,14,Female
22770,59,18,Female
22774,62,17,Female
22778,60,12,Male
22780,78,14,Female
22782,58,15,Male
22783,63,18,Female
22787,80,16,Male
22789,61,20,Female
22798,63,16,Male
22801,58,14,Female
22808,62,18,Female
22810,64,24,Male
22812,56,28,Female
22813,63,22,Female
22820,64,16,Female
22823,62,16,Female
22826,61,16,Male
22832,67,16,Male
22833,65,16,Male
22841,61,16,Female
22842,61,16,Female
22846,65,18,Female
22849,68,18,Female
22857,67,18,Male
22859,74,21,Female
22861,58,18,Male
22871,66,14,Female
22874,69,16,Female
22878,59,16,Female
38,71,14,Female
341,65,16,Female
325,73,25,Male
312,67,16,Female
37,72,13,Female
39,70,20,Male
351,65,16,Female
331,69,16,Male
313,68,17,Female
36,68,18,Male
311,67,19,Female
352,72,20,Female
355,65,18,Male
310,72,18,Male
34,72,17,Female
3102,65,12,Female
334,71,17,Female
324,74,23,Male
339,66,15,Female
343,73,24,Male
344,68,19,Female
356,67,14,Female
345,67,17,Female
365,66,16,Male
366,78,16,Female
378,69,16,Male
377,65,18,Female
374,70,13,Female
383,68,19,Male
389,68,18,Female
387,66,18,Male
392,73,15,Male
386,74,18,Female
398,73,18,Female
376,71,18,Female
3110,72,17,Male
3113,66,18,Female
3104,66,16,Female
3133,77,20,Female
3132,69,16,Male
3136,72,17,Female
3140,71,14,Female
3154,66,22,Male
3146,74,19,Male
3158,67,14,Female
3159,73,29,Female
3161,68,17,Female
35,65,20,Female
3166,70,16,Male
3173,74,12,Male
3178,72,12,Female
3172,65,16,Female
3185,71,19,Female
3164,66,18,Male
3182,71,17,Female
3186,66,16,Female
3174,68,17,Male
3190,69,16,Female
3176,73,17,Female
3197,79,16,Female
3191,73,12,Female
3199,77,22,Male
3195,75,14,Male
3202,76,12,Male
3204,66,18,Female
3206,65,18,Female
3208,74,16,Male
3209,68,16,Male
